,initial run,soil run,Diff,ratio,cat
313,276.546,298.138,-21.591999999999985,0.9275771622537214,2
314,408.101,448.1,-39.999000000000024,0.9107364427583128,2
315,72.699,72.699,0.0,1.0,0
316,164.418,178.09,-13.671999999999997,0.9232298276152507,1
317,260.28700000000003,260.28700000000003,0.0,1.0,2
318,230.25,247.127,-16.87700000000001,0.9317071788999178,2
319,90.791,98.991,-8.200000000000003,0.9171641866432302,0
320,210.511,210.511,0.0,1.0,2
321,153.803,165.486,-11.682999999999993,0.929401882938738,1
322,115.497,121.914,-6.417000000000002,0.9473645356562823,1
323,257.546,279.811,-22.264999999999986,0.9204284320487758,2
324,135.496,144.296,-8.799999999999983,0.9390142484892168,1
325,248.003,268.303,-20.30000000000001,0.9243392731352239,2
326,87.369,87.369,0.0,1.0,0
327,96.703,105.038,-8.334999999999994,0.9206477655705555,0
328,240.141,240.141,0.0,1.0,2
329,92.135,98.084,-5.948999999999998,0.9393479058765956,0
330,114.828,122.859,-8.030999999999992,0.9346323834639709,1
331,348.216,357.342,-9.125999999999976,0.9744614403008883,2
332,637.514,637.514,0.0,1.0,2
333,138.061,146.19799999999995,-8.136999999999944,0.9443426038659903,1
334,145.827,154.998,-9.170999999999992,0.9408314945999303,1
335,273.257,293.2920000000001,-20.035000000000082,0.9316892380289947,2
336,761.865,761.865,0.0,1.0,2
337,110.671,110.671,0.0,1.0,1
338,194.974,208.476,-13.50200000000001,0.9352347512423492,1
339,213.338,230.141,-16.802999999999997,0.9269882376456172,2
340,118.685,118.685,0.0,1.0,1
341,200.765,217.902,-17.137,0.9213545538820204,2
342,180.703,195.764,-15.061000000000007,0.9230655278805091,1
343,174.111,174.111,0.0,1.0,1
344,111.122,111.122,0.0,1.0,1
345,850.7410000000001,850.7410000000001,0.0,1.0,2
346,265.405,289.346,-23.94100000000003,0.9172582306304562,2
347,157.47,157.47,0.0,1.0,1
348,925.833,925.833,0.0,1.0,2
349,136.264,143.827,-7.562999999999988,0.9474159928247131,1
350,199.264,210.341,-11.076999999999998,0.9473378941813532,1
351,136.97299999999998,136.97299999999998,0.0,1.0,1
352,79.609,79.609,0.0,1.0,0
353,87.07700000000001,92.746,-5.668999999999983,0.9388760701270138,0
354,148.501,148.501,0.0,1.0,1
355,157.23,168.398,-11.168000000000006,0.9336809225762775,1
356,535.94,590.492,-54.55199999999991,0.9076160218936075,2
357,287.085,287.085,0.0,1.0,2
358,191.044,191.044,0.0,1.0,1
359,58.951,63.05,-4.098999999999997,0.9349881046788264,0
360,579.5419999999998,587.295,-7.753000000000156,0.9867987978784084,2
361,165.649,177.81400000000005,-12.165000000000049,0.9315858143903177,1
362,151.334,159.912,-8.578000000000003,0.946357996898294,1
363,278.49,278.49,0.0,1.0,2
364,348.741,377.524,-28.783000000000015,0.9237584895264936,2
365,118.049,124.57,-6.520999999999987,0.9476519226137915,1
366,184.993,198.313,-13.319999999999993,0.9328334501520325,1
367,160.134,169.888,-9.754000000000019,0.9425857035223205,1
368,96.327,101.344,-5.016999999999996,0.9504953425955163,0
369,688.257,696.45,-8.193000000000097,0.988236054275253,2
370,225.531,241.223,-15.692000000000007,0.9349481600013265,2
371,116.419,116.419,0.0,1.0,1
372,337.029,354.153,-17.124000000000024,0.9516480165352262,2
373,179.343,179.343,0.0,1.0,1
374,98.358,103.638,-5.280000000000001,0.949053435998379,0
375,176.795,176.998,-0.20300000000000296,0.9988530943852473,1
376,228.463,228.463,0.0,1.0,2
377,197.154,212.298,-15.144000000000005,0.9286663086793092,1
378,132.369,134.429,-2.0600000000000023,0.9846759255815337,1
379,277.254,301.302,-24.048000000000002,0.9201863910627875,2
380,155.947,167.65200000000004,-11.705000000000041,0.930182759525684,1
381,132.969,139.639,-6.670000000000016,0.9522339747491746,1
382,131.036,131.036,0.0,1.0,1
383,166.005,180.528,-14.522999999999996,0.9195526455729859,1
384,106.327,106.327,0.0,1.0,1
385,113.253,119.541,-6.287999999999997,0.9473988004115743,1
386,98.299,105.329,-7.029999999999987,0.933256747904186,0
387,103.322,103.322,0.0,1.0,1
388,206.77,221.268,-14.49799999999999,0.934477647016288,2
389,170.21,182.157,-11.947000000000003,0.934413720032719,1
390,68.954,68.954,0.0,1.0,0
391,150.938,150.938,0.0,1.0,1
392,220.883,220.883,0.0,1.0,2
393,272.095,295.5,-23.404999999999973,0.9207952622673435,2
394,117.274,124.101,-6.826999999999998,0.9449883562582091,1
395,103.825,89.228,14.597000000000008,1.1635921459631506,1
396,95.983,102.657,-6.673999999999992,0.934987385175877,0
397,112.852,118.668,-5.8160000000000025,0.9509893147268008,1
398,184.302,184.302,0.0,1.0,1
399,155.798,155.798,0.0,1.0,1
400,127.302,127.008,0.29400000000001114,1.0023148148148149,1
